,domain,subclass
0,ydiilygmxbke,1
1,imspxyqruxvris,1
2,nvscdusclrzdfmdalvknhminuklnx,2
3,vshrgydwscevnfdudjqivirkj,2
4,sqptdiywjvuf,1
5,dtsfyhyzdqstkbaqwkivugpztwfa,2
6,yo8uan19p9p2kvi9ie91alab4r,3
7,wmhaeagqlsipfsr,1
8,jakfiwlmljrrysw,1
9,pzpbxvivxxopxcfiqfaicm,2
10,fcpnxoslfiawexf,1
11,ogscxuoxlqonhi,1
12,pdhwsacmztnn1stznfl1j36q75,3
13,fblwtuullvxnjcb,1
14,hfv51b9oq7pbh0pem51rm483q,3
15,1afs0op1k6e6tqwtzbva16p92ri,3
16,pbtwmfimontt,1
17,xsjmggmlfdbg,1
18,gowzmuqsq8s4yqgpj311lvkmc,3
19,vytvjoujjmtwu,1
20,kfjrmrciruoqszlmhjzhuhetss,2
21,12pkp7w4v81cj1kwlma1bhs9ir,3
22,uyhmrswfddyw,1
23,1y1dnrj1mdgeycdko30s14eeq9j,3
24,yuqldguqqoatst,1
25,ksmojsyvinek,1
26,busoqkxvjbathqj,1
27,voxxpsukteinfwonjvcifsb,2
28,mnrsjfedulprvszpvburolgaam,2
29,dijkecyxcofe,1
30,ciftuhvhvulwy,1
31,lvuehhlvxejexm,1
32,haxhcqsgtsjrraueisgargivmflf,2
33,wmppro1wft2nmyx0f3d18creis,3
34,dqkvwtwqcqhauceeaxwaqpjtwx,2
35,vmiihnvomrbx,1
36,dslxoyofixgh,1
37,rbntdnqnwmmjpj,1
38,1cmka1mp3bzesiwnegzxrcutt,3
39,gkpbxuhbothw,1
40,rercmedsvsmse,1
41,1pcdvur1cbnsnejr4j1j1skzzyb,3
42,hqosjsqlyuqopy,1
43,rdrpseulvosjb,1
44,erhstaaiqgeesup,1
45,vetgiwffywqoap,1
46,1eb15dlhckoyg1r6kvravdvrx,3
47,lvhipdprjrhakfljvohy,2
48,olkvttxaumpvkw,1
49,xdpvswytvkrhyoztoxtetkhm,2
50,bbhxjlhkgywi,1
51,ljgwkxwgqcskgugelrpzxljlbm,2
52,pigvuihdacoq,1
53,1qkozo81wseka11nvh45z1ewi7e5,3
54,uiwmtimbuovur,1
55,rjcgjafxtcspo,1
56,1pt1rcc1g5ppu6c0i7kd1sp9kyp,3
57,19nvgzc1wjq9zve6s8ff1q3xd8d,3
58,mrdkprbjjdlgdei,1
59,fsvkotgkvocwln,1
60,vgtpjgusskvsdiwoxkhxwxln,2
61,1yxjn5jlzlrh4153mgd511zpu6s,3
62,oyrysqxgqonkg,1
63,lxkdthtetwtlyw,1
64,hcixghsuvxnda,1
65,deemgidorypjzhtcsotoojxyx,2
66,dgqqeybgibipvcyhnfkblfqsnf,2
67,13105hg12ucgx91u7we0t16j3wot,3
68,kfdwexqcwvses,1
69,mdvjsstuxpgkl,1
70,68h2w10fncoc1n23s6710bmlpg,3
71,wskffezlqkfipjheofvchibuheplj,2
72,yoxgacdaehqc,1
73,fbeyrpuynbbpc,1
74,lzqfhxn27k91mmfrr3djhgub,3
75,1lmgxuazf5c28petlti1ih0h9v,3
76,wyaecynekmopcef,1
77,1lmgx371rk511zi116ia3q5w02,3
78,nxdtctevgwkqqob,1
79,buvrcyvhfqkfiga,1
80,dtshrrpeqvyblt,1
81,113yufjtvk5hy1ihccof1ja8tor,3
82,cfaruasyctsnrw,1
83,11h7olu1i8fr321060wkk1jl6v04,3
84,6eossa1iverk3pnd3ck10a4jm,3
85,nbuynkvpdhplpvo,1
86,ctajdk1xe6swd77uda27p8ccb,3
87,yxmnrcadmdydpvqchmzyduotmv,2
88,hsoqqozhhmtislzkfovdirc,2
89,igitslbdaozdfursamnfvtclhga,2
90,gxvvvxcymfuuj,1
91,krpooyoyudwwda,1
92,ylaetqsulciac,1
93,ordnqshufggxbte,1
94,745mabhxhnbr1s05tsb9knzb6,3
95,leykfhytumrgtfmqksemrcp,2
96,qgzlgiwskbhzdmfemdqfalnpjz,2
97,fvdle21qggicr4ykoil3dqsoi,3
98,ghp5o9ftvrn4b56a3dv992pv,3
99,trrmjxsykvvw,1
100,lbarggimfxcorgyaucefmpbcmkrts,2
101,xlrlntooomwynv,1
102,geuslfiofayhmhikbcqppjblugha,2
103,ovjtsifrkkrvcrsgqkbmlbina,2
104,pfvmivptjdiyhb,1
105,brecavkvhjyiyqq,1
106,siajpkdtkuessi,1
107,fmjujlxefjdhbg,1
108,fabblaoxalpbccp,1
109,ktxwrnuqdrqjd,1
110,1gfts6a1vj73g11w36dg81cek7nv,3
111,aykvvstprtsdadyhkkvht,2
112,x2ilwp1cm55uj1ahybml1mybgpp,3
113,bfovfixnwwty,1
114,uomqyfshcsem,1
115,vdyhbpgsnlpisch,1
116,ypxsilfukwlveagyjzawvolfkb,2
117,fegafulblprrcqktwlhvgzxgul,2
118,emefsppgvofha,1
119,xhiwbftepsnhg,1
120,dasgmgwierjxl,1
121,12v2cls1y4s0it12bj7on1ptrkrg,3
122,hkckoe1ax89jy1inzpkz13dg4ou,3
123,lhxtmtqqfpbfcx,1
124,hbf5no1m237xu1a9rn63wigm09,3
125,kooeaohklkyuao,1
126,jywvvsiicidfub,1
127,dpwmvqtlnaywsd,1
128,y37ihn1p3drpe11zxa1ngq9lym,3
129,uqvwulxhksjrfh,1
130,aagtsftqsfvq,1
131,vjwyemcxekev,1
132,hdvekolohetunkj,1
133,anrclitgyeqyqdw,1
134,idjbhljbymnjvgmdhajzydukvohi,2
135,1id9r1e1ba0dev1jjjrq1w9wvbo,3
136,swcmftkjznvgeirijknfmhipbykzmb,2
137,ohxvjjyuyamb,1
138,2aix941sgrrwuh3wbta4me9tx,3
139,pnukhmrgpbppvemyhlgahcafyeq,2
140,lwvilddgpbax,1
141,ugozxsxxlwonbeybmiagyvamam,2
142,ptbtaqvbblvtys,1
143,cvawtftkaflu,1
144,ztmvptifcpbwgqwbarorz,2
145,gywkfeprwshvwovztkfcyjvclfwgl,2
146,r8j5bw1unfj1bzsdu5j1ai945v,3
147,fqqusqqwjbtwlfyzskmrmbdid,2
148,gojxsowapagmkhn,1
149,feyrckkwwjymeo,1
150,lnetpdovxsodsl,1
151,vimbhtxyytevnj,1
152,edxmnbluprtdvr,1
153,vqxitiitwivfsp,1
154,1ueb62o6iguhc1wl7jyu18h6ttc,3
155,mobwggwajkkgt,1
156,1ndv0pk1f5y29oadgfkez5fst1,3
157,acktpiimghkprpv,1
158,xxkvhypusqgmnkrkbsaivwhjv,2
159,ckadgbutunnbes,1
160,oidhjhiulyen,1
161,funxhlyahppo,1
162,rsvpkiuolqci,1
163,iowcpyblmlkuoh,1
164,kucmtakybnsrtox,1
165,ymofcfcblirbwb,1
166,1xlgiy2n7e0s10aago1x7jfxm,3
167,7acbsl1rwf5jnjg8k3b17gonus,3
168,qpyewtgftbsuc,1
169,fyqmclqxutdqtfd,1
170,afmhstkpbduwyllrusbydcygu,2
171,1kv9l5p1jzjkfbv2bqkw3yozbf,3
172,1qgcb451alyriuk16gp61vqt848,3
173,unoqhr6jdfge1s09h2m2s2np5,3
174,xnxcdpxojxwlugeqgvstpda,2
175,rgqhoqxntqbkwdl,1
176,dnihnpfhppmuy,1
177,clfarwptdjcskfi,1
178,1gd6yunzxvbws1xpgv641tvk89b,3
179,14itlmk1m5o7lfsebsgn19sv6vh,3
180,lggnrskpvrtwa,1
181,mpsjocnxnjjs,1
182,cuvkruopeqrczdzxyptwkfswq,2
183,vhdtvyxcntyqukb,1
184,xgnrwguwbibigixsxgxmnhdazdq,2
185,onifsbelbptodevclojhanvkjor,2
186,yemrargnxmupqab,1
187,qwxhf4hlbw1c1figbpu131fpqx,3
188,yrwjneycxyhcilv,1
189,dngtwexjjtppwp,1
190,noqihiwspvkayq,1
191,vbfoyorfikksbio,1
192,gcmjfvotoituuw,1
193,5akbuxrn0mpp14imaxv1nzk4rn,3
194,smnrgldgkopbd,1
195,uegpxhnpjgoqjp,1
196,daaigimzxkxmjaeqwinfevkypwktck,2
197,sk2ls619zjde144ik1vowqyv,3
198,vctvgcrpiybl,1
199,oagjwlthoclmcp,1
200,heduyoeyiroay,1
201,hr80x61eivtrrpwqjxp1lzqcyz,3
202,huthmnsceippbeaemofpnhenvmf,2
203,cnj7dtx7orhlzji9hx7e4l0j,3
204,evf3xeyy1mne1uvo9yj1jpryz5,3
205,vkathwqcvnybk,1
206,wyusprlewdda,1
207,hqingcttomaxox,1
208,184iy2axqxarvo8g5umnywxyi,3
209,ukonehloneybmfb,1
210,sgvjbpmprrqfmg,1
211,pctkivbmtcfq,1
212,hanvdsnlxakct,1
213,luuumdvadgyf,1
214,yyjihoslp9r84uop64mjdsy0,3
215,awoedhxxkncc,1
216,sbpgafqlbckrcm,1
217,kngeozldkdaztlrjzmjhganbvw,2
218,yiysfmmbqpiciyl,1
219,18wku1etyg00vgrxsrq6fdey7,3
220,xkdyufmmudmd,1
221,nmpnkmsdmmdim,1
222,zlhmwowguxgthztdqwgcqgeh,2
223,rfxlsasxbbhiin,1
224,hcwdccuhpnqb,1
225,1knpsq4mx2lcazx0gu312n826q,3
226,xvsbvajoynebhig,1
227,qdao2shmiolbgv4uxh8lhslw,3
228,2fw9cflaltu88b3ofz1krqqj9,3
